strategy,threshold_name,threshold,MDR,MFAR,AUROC
S1_max,theta_emp,0.6722468015342384,0.0,0.0,0.5
S1_max,theta_0.01,0.6722468015342384,0.0,0.0,0.5
S1_max,theta_0.05,0.6722468015342384,0.0,0.0,0.5
S1_max,theta_0.10,0.6722468015342384,0.0,0.0,0.5
S2_mean,theta_emp,0.29586768555831283,0.9937777777777778,0.9923857868020305,0.24823989471705207
S2_mean,theta_0.01,0.6449856202951724,0.0002962962962962963,0.007614213197969543,0.24823989471705207
S2_mean,theta_0.05,0.6117362931773762,0.0026666666666666666,0.048223350253807105,0.24823989471705207
S2_mean,theta_0.10,0.5974865815554635,0.009777777777777778,0.09644670050761421,0.24823989471705207
S3_exceed,theta_emp,0.33688442211055275,0.9934814814814815,0.9898477157360406,0.23686482421507804
S3_exceed,theta_0.01,0.9558458961474037,0.0,0.007614213197969543,0.23686482421507804
S3_exceed,theta_0.05,0.893534338358459,0.0017777777777777779,0.048223350253807105,0.23686482421507804
S3_exceed,theta_0.10,0.8727638190954774,0.0071111111111111115,0.09137055837563451,0.23686482421507804
S4_class,theta_emp,0.6053599338438971,0.9958518518518519,0.9949238578680203,0.5004609889076894
S4_class,theta_0.01,0.6722468015342384,0.0,0.0,0.5004609889076894
S4_class,theta_0.05,0.6722468015342384,0.0,0.0,0.5004609889076894
S4_class,theta_0.10,0.6722468015342384,0.0,0.0,0.5004609889076894
S5_dist,theta_emp,0.6192445221755004,0.14725925925925926,0.048223350253807105,0.40001504042113184
S5_dist,theta_0.01,0.647085199468797,0.015111111111111112,0.007614213197969543,0.40001504042113184
S5_dist,theta_0.05,0.6192445221755004,0.14725925925925926,0.048223350253807105,0.40001504042113184
S5_dist,theta_0.10,0.6192445221755004,0.14725925925925926,0.048223350253807105,0.40001504042113184
