strategy,threshold_name,threshold,MDR,MFAR,AUROC
S1_max,theta_emp,0.6722468015342384,0.0,0.0,0.5
S1_max,theta_0.01,0.6722468015342384,0.0,0.0,0.5
S1_max,theta_0.05,0.6722468015342384,0.0,0.0,0.5
S1_max,theta_0.10,0.6722468015342384,0.0,0.0,0.5
S2_mean,theta_emp,0.22461912744874968,0.9987257088244664,0.9984126984126984,0.280228259935173
S2_mean,theta_0.01,0.6307359086732597,0.000955718381650207,0.009523809523809525,0.280228259935173
S2_mean,theta_0.05,0.6046114373664199,0.005734310289901242,0.046031746031746035,0.280228259935173
S2_mean,theta_0.10,0.5903617257445072,0.014017202930869704,0.1,0.280228259935173
S3_exceed,theta_emp,0.33688442211055275,0.9933099713284486,0.9920634920634921,0.2693457121618957
S3_exceed,theta_0.01,0.9267671691792294,0.0006371455877668047,0.009523809523809525,0.2693457121618957
S3_exceed,theta_0.05,0.88107202680067,0.00414144632048423,0.046031746031746035,0.2693457121618957
S3_exceed,theta_0.10,0.8603015075376884,0.01083147499203568,0.08253968253968254,0.2693457121618957
S4_class,theta_emp,0.6053599338438971,0.996814272061166,0.9904761904761905,0.5031710634768934
S4_class,theta_0.01,0.6722468015342384,0.0,0.0,0.5031710634768934
S4_class,theta_0.05,0.6722468015342384,0.0,0.0,0.5031710634768934
S4_class,theta_0.10,0.6722468015342384,0.0,0.0,0.5031710634768934
S5_dist,theta_emp,0.6192445221755004,0.15132207709461612,0.06507936507936508,0.46853411004414514
S5_dist,theta_0.01,0.647085199468797,0.015610066900286716,0.007936507936507936,0.46853411004414514
S5_dist,theta_0.05,0.6248126576341597,0.1216948072634597,0.046031746031746035,0.46853411004414514
S5_dist,theta_0.10,0.6192445221755004,0.15132207709461612,0.06507936507936508,0.46853411004414514
